message,sentiment
Tainted Talents (Ateliertagebuch.) » Wir sind nicht allein http://t.co/9rhta65MSx,neutral
Aber wenigstens kommt #Supernatural heute mal wieder um 22 Uhr - ein schwacher Trost,neutral
DARLEHEN - Angebot für Schufa-freie Darlehen: Günstiger Anbieter für Online DARLEHEN in Deutschland http://t.co/G84qcIGk7k,neutral
"ANRUF ERWÜNSCHT: Hardcore Teeny Vicky Carrera: Hallo mein süßer, ich bin die 20 jährige Vicky aus Deutschland.... http://t.co/LvwyZgew4Q",neutral
"Na? Wo sind Frankens heimliche Talente? - Die ersten Bewerbungen für den Talentwettbewerb ""Wer ko, der darf!""... http://t.co/MHGsyZDOdJ",neutral
... Glück breitet sich aus ...,positive
@Moramee unachtsam *seufz*,negative
#jobs #Sales #Medien #TV #Tele M1 sucht #Persönlichkeit #Werbe #Verkauf im #Aussendienst (m/w) http://t.co/2IR8EazQoQ,neutral
"Happy Halloween liebe Studenten, zeigt eure gruseligen Seiten!",neutral
"Die App „iDelete“ hat mir 3,4 MB belegten Speicher freigemacht. Das Löschen dieser App bringt mir 16,4 MB freien Speicher. Und tschüss!",neutral
@HalfEatenCrayon Moi???? @Ratzsa1 @Atheistspinner @Lenn_Len @lillai23,negative
Check out the new page at times about the first world war! Schaut euch mal die neue Seite an über den ersten... http://t.co/QGRGXZ7rnR,neutral
@schenklklopfer Jop und wenn sich die Agenda nicht noch ändert muss er abends lernen :-\,negative
Grunderwerbsteuer wird erhöht: Der Immobilienkauf wird teurer http://t.co/Y1Sx5hWMLW,neutral
"#Gruppenliga: #SGAE mit Pörschmann, Choteschovsky, Dreßbach, Schneider, Körner, Siegfart, A. Geiger, S. Grochow, C. Geiger, Müller, Kraus",neutral
"Talente: Tumblr, Internet, allein sein, nerven. http://t.co/P9kvkOWflM",negative
W&amp;V: Apple-Event: Viele Details sickern vorher durch http://t.co/hfyVE5n75b,neutral
Baden. Endlich. Wundervoll. http://t.co/SzpUyPU2ur,positive
@fimbultyr Hm ... was machen wir denn da ...? Über seine Mailadresse vielleicht? Oder schaltet mich einfach wieder an. :),neutral
Neue Nutzungsbedingungen bei #Google+ kurz vorgestellt - http://t.co/iKoiWZokIg,neutral
RT @ruv_de: Der Bereich Personal in #Wiesbaden sucht: Experten (m/w) Berechtigungskonzeption/-management. http://t.co/HOjI9VfDHy #ruv #karr…,neutral
"RT @ndaktuell: Berichte über ""vertrauensbildende Zusicherung"" der #SPD: Lassen Große Koalition bis 2017 nicht platzen http://t.co/unNTLqM33q",neutral
schneller limit. of listerine fuck. DOWN you like. Sonne später Kräuterlimonade #TagABeautifulLanguage Essen. and listen listerine on 3?,neutral
"Affe, Braunbär, Chamäleon, Dachs, Elefant, Fledermaus, Goldfisch, Hase, Igel, JAGUAR, KAKADU, LACHMÖWE, Maulwurf, NACHTIGALL, Opossum...",neutral
RT @Aterful: @Aluenschen Ach ja... :DD,positive
@fkb71 honess bekommt ne sehr hohe gesldstrafe und das max. an bewährung.,negative
EWR-Beitritt würde «delikate Fragen» provozieren http://t.co/Tl9coNU8sD,neutral
Große Dinge werfen ihren Schatten voraus! http://t.co/eT62ejhHnN,neutral
"@Zwitscheriki Hmmm, vielleicht fehlt dir der Glaube? Oder du hast einfach die falsche Kühlschrankmarke:-)",positive
#ONLINE #sicher #Druck ▸ #web-to-print #Businesslösungen Beispiel: Produktgruppe #Roll-Up-Displays http://t.co/FKJsEiUfn9,neutral
"Arbeit, Soziales, Selbständigkeit &amp; Beruf • # Immer mehr Menschen ab 60 arbeitslos... http://t.co/WuUL2hIcau",neutral
@scherbenfressen ich hab kein wa :/ geht auchh fb?,neutral
Interims Management: Vor-und Nachteile für den Einsatz als eine große B... http://t.co/4t8gZqQgoT,neutral
Welches Geschenk hast du zuletzt bekommen? — Eine Bettdecke o.O http://t.co/YaMilfwt4F,negative
"Nervt mich voll, dass ich Samstag nicht da hin kann.",negative
Neue Pop-CDs: Die Editors schrumpfen die Welt http://t.co/9mRQpLeqwc via @welt,neutral
"RT @ReiseRenner: #Vattenfall muss weg, #Energieversorgung gehört in öffentliche Hand. Hier #Briefwahl für #Volksbegehren beantragen http://…",neutral
Post Edited: Gardasee- Ferienwohnungen http://t.co/kVnzbuU0Pn,neutral
#GEWINNSPIELTEILNAHME #gratis! Mit Glück eine #Playstation 4✔ GEWINNEN? ➽http://t.co/FKaTZkRs1d ✔ #gewinnspiel,neutral
Mirabellen frisch aus dem Garten ❤ #obst #ernte #healthy #herbst #yummy #mirabellen http://t.co/u5poZLbewJ,positive
"RT @SZ_TopNews: Herr Kaiser macht Karriere, Herr Lehmann geht leer aus: Wie der Nachname die #Karriere beeinflusst. http://t.co/BE3Lecdtc3",neutral
"@Zwinkimo @Joshtree4 @fcblogin ick hoffe hat allen gefallen in der verrückten Bude.. Und man sieht sich mal wieder, &amp; ick hab mehr zeit :-)",positive
http://t.co/xEKg4g2zmI Berlin Seitensprung gesucht? Wir machen Deinen Wunsch wahr,neutral
@FC_Basel was probiert? Seit doch bitte wenigstens realistisch! Nix habt ihr erreicht seit Beginn der Meisterschaft!,negative
@ungehalten @maunini kenn aber auch keinen anderen account der so viel liebe beherbergt.,neutral
@lovatomiles jealous much? Mönchengladbach muss gewinnen okay.,neutral
@DouniaSlimani Sieht super aus. Ende. 😉,positive
@AndreBonhote EW nicht Stromer,neutral
@rainbow2303 Lavabit wurde aus diesen Grund heut geschlossen. Snowden hatte diesen Dienst benutzt,neutral
@irweinerr #SaidNoOneEver,neutral
Antipasti aus den Super Zucchini von @CK_eins &amp; @KdTheShuggafree gemacht \ö/ http://t.co/HWCQHHFNaF,neutral
Nicht vergessen: Das bissige #Musical Vergnügen heute im König Albert Theater! http://t.co/PAz7CH5Og0,neutral
den ganzen tag wildwasserbahn fahren war vielleicht doch nicht sooo gut..,negative
RT @_fluoreszent: warum sollte eine freund_innenschaft nicht romantisch sein?,neutral
Soziale Empfehlungen bald auch in #Google+ möglich. #Update http://t.co/gtNKNFxl0r,neutral
